"Test Type","Tool","What the Test Does","What to Test in Yoosr"
"Unit","Vitest","Tests a single function or module in isolation, no external dependencies","Bot block logic, utility functions, i18n helpers"
"Component","React Testing Library","Renders a UI component and asserts it displays/behaves correctly","Dashboard widgets, bot builder blocks, widget embed UI"
"Backend Functions","Vitest + convex-test","Calls Convex queries/mutations directly without a running server","bot.ts execution engine, conversations.ts state, knowledge.ts RAG retrieval"
"Webhook/API","Vitest integration tests","Sends a mock HTTP request and asserts the correct response and side effects","Meta Cloud API webhooks (WhatsApp, Instagram, Messenger), Telegram inbound parsing"
"E2E — Auth & Onboarding","Playwright","Simulates a real browser session from login to first action","Sign up → org creation → onboarding flow"
"E2E — Bot Builder","Playwright","Drives the UI like a real user, clicking through full workflows","Create flow, add blocks, publish bot"
"E2E — HITL Handoff","Playwright","Opens two browser contexts (agent + user) and verifies real-time sync","Bot escalates to agent, history preserved, department routing"
"E2E — Widget","Playwright","Embeds the widget in a test page and simulates a full conversation","Widget loads, user sends message, bot replies, CSAT rating"
"E2E — Multi-tenancy","Playwright","Logs in as two separate orgs and verifies data isolation at UI and API level","Org A data invisible to Org B, cross-org API calls return 401"
"E2E — Multilingual/RTL","Playwright (locale: 'ar')","Loads the app in a specific locale and checks layout and text direction","Arabic RTL layout renders correctly, FR/EN switching"
"Visual Regression","Chromatic (free tier)","Takes screenshots on every deploy and flags any unintended pixel-level changes","Bot builder UI, widget embed, dashboard layout"
"Performance/Load","k6","Simulates many concurrent users hitting endpoints and measures response times","Concurrent webhook ingestion, real-time Convex query load"
